cg_ipo_id,pct_qib,pct_retail,pct_nii,pct_anchor,details_fetched,sector,kpi_roe,kpi_ebitda_margin,kpi_pb,kpi_post_ipo_pe,kpi_roce,kpi_debt_equity,kpi_pat_margin
1525,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,33.73,,,15.71,22.76,0.59,8.56
1528,75.0,10.0,15.0,45.0,2026-07-12,Industrials,9.4,,,57.8,14.17,0.46,1.64
1512,75.0,10.0,15.0,45.0,2026-07-12,Industrials,18.33,,,19.38,19.49,,22.22
1513,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,23.19,,,11.74,17.71,1.34,3.53
1382,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,-134.0,,,,1.0,34.1,
1508,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,27.96,,,34.91,23.55,0.87,7.22
1507,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,18.1,,,289.8,26.0,0.9,
1502,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,,,,,,,
1505,75.0,10.0,15.0,45.0,2026-07-12,Technology,46.98,,,87.23,,2.48,4.14
1503,50.0,35.0,15.0,30.0,2026-07-12,Industrials,14.22,,,39.26,15.57,0.36,3.37
1496,50.0,35.0,15.0,30.0,2026-07-12,Industrials,22.27,,,10.78,28.26,0.09,20.18
1494,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,20.03,,,66.1,20.94,,-0.47
1488,50.0,35.0,15.0,30.0,2026-07-12,Materials,29.12,,,18.99,12.62,2.17,5.21
1490,50.0,35.0,15.0,30.0,2026-07-12,Technology,12.39,,,33.69,13.77,0.26,8.57
1485,50.0,35.0,15.0,30.0,2026-07-12,Industrials,,,,13.61,33.72,0.8,7.74
1482,50.0,35.0,15.0,30.0,2026-07-12,Industrials,26.43,,,40.91,31.96,0.39,11.19
1479,30.0,50.0,20.0,18.0,2026-07-12,Consumer Discretionary,29.61,,,16.21,21.37,,6.62
1475,75.0,10.0,15.0,45.0,2026-07-12,Industrials,5.5,,,189.42,7.64,,
1472,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,20.06,,,32.29,24.27,,28.14
1470,50.0,35.0,15.0,30.0,2026-07-12,Financials,9.93,,,40.42,,2.2,
1464,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,35.95,,,39.16,26.1,1.44,12.64
1459,50.0,35.0,15.0,30.0,2026-07-12,Technology,68.01,,,59.67,64.42,0.3,10.55
1456,75.0,10.0,15.0,45.0,2026-07-12,Financials,22.64,,,6.78,,8.03,
1452,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,18.9,,,15.53,14.2,1.25,3.89
1446,75.0,10.0,15.0,45.0,2026-07-12,Industrials,23.1,,,66.25,13.48,,4.0
1442,75.0,10.0,15.0,45.0,2026-07-12,Technology,13.11,,,87.5,12.51,0.27,17.2
1435,50.0,35.0,15.0,30.0,2026-07-12,,,5.7,,19.4,42.15,0.75,3.82
1430,50.0,35.0,15.0,30.0,2026-07-12,Technology,36.0,,,32.13,26.0,1.03,15.12
1412,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,27.6,,,32.5,26.1,,18.67
1405,75.0,10.0,15.0,45.0,2026-07-12,Technology,85.9,11.6,,55.54,27.4,3.64,8.0
1398,10.0,60.0,30.0,6.0,2026-07-12,Industrials,17.78,13.41,,9.67,20.71,0.39,6.54
1390,50.0,35.0,15.0,30.0,2026-07-12,Materials,26.59,21.97,,21.84,20.85,0.28,18.72
1383,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,14.52,28.07,,35.16,29.47,0.0,19.08
1347,75.0,10.0,15.0,45.0,2026-07-12,,16.42,9.61,,33.51,14.0,,5.43
1355,50.0,35.0,15.0,30.0,2026-07-12,Industrials,27.34,20.73,,17.34,33.07,0.21,13.31
1346,50.0,35.0,15.0,30.0,2026-07-12,Industrials,13.85,7.31,,29.69,15.82,0.32,3.58
1354,75.0,10.0,15.0,45.0,2026-07-12,Technology,,,,35.92,,,23.0
1338,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,26.66,6.27,,27.61,18.86,,2.22
1350,10.0,60.0,30.0,6.0,2026-07-12,,9.0,14.48,,18.96,11.0,0.12,9.59
1345,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,13.19,,,49.24,20.86,0.58,11.49
1324,50.0,35.0,15.0,30.0,2026-07-12,Industrials,26.8,22.13,,12.89,31.0,0.19,13.6
1339,50.0,35.0,15.0,30.0,2026-07-12,Materials,34.64,11.72,,14.55,32.87,0.43,7.28
1336,50.0,35.0,15.0,30.0,2026-07-12,Real Estate,,16.6,,365.54,,1.62,
1335,75.0,10.0,15.0,45.0,2026-07-12,Energy,,,,-327.0,,0.99,
1321,50.0,35.0,15.0,30.0,2026-07-12,Technology,24.5,13.26,,84.95,24.44,0.84,5.9
1334,75.0,10.0,15.0,45.0,2026-07-12,,113.11,42.42,,16.78,34.62,3.53,16.68
1327,50.0,35.0,15.0,30.0,2026-07-12,Financials,13.86,73.13,,24.76,,0.69,
1332,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,9.5,27.35,,119.05,13.89,0.17,4.72
1330,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,13.1,21.92,,38.36,16.3,0.5,9.0
1331,50.0,35.0,15.0,30.0,2026-07-12,Financials,1.68,,,12.33,,1.2,
1316,75.0,10.0,15.0,45.0,2026-07-12,,55.8,7.61,,90.0,13.15,4.27,5.84
1199,75.0,10.0,15.0,45.0,2026-07-12,Technology,-24.0,-10.1,,240.0,-28.0,,
1318,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,17.42,6.71,,13.95,18.87,48.04,2.4
1283,50.0,35.0,15.0,30.0,2026-07-12,Industrials,17.0,14.12,,32.67,23.0,0.74,6.87
1287,75.0,10.0,15.0,45.0,2026-07-12,Financials,16.58,,,9.22,,,17.65
1281,75.0,10.0,15.0,45.0,2026-07-12,Industrials,19.78,8.46,,104.82,23.99,0.02,5.75
1276,50.0,35.0,15.0,30.0,2026-07-12,Technology,7.83,10.02,,50.69,18.39,0.24,6.0
1257,50.0,35.0,15.0,30.0,2026-07-12,Materials,40.79,24.93,,72.3,28.5,1.19,15.67
1254,50.0,35.0,15.0,30.0,2026-07-12,Technology,24.2,31.0,,49.42,30.5,23.3,19.3
1247,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,,,96.0,,0.78,
1253,50.0,35.0,15.0,30.0,2026-07-12,Materials,,,,7.07,,,4.3
1248,50.0,35.0,15.0,30.0,2026-07-12,Materials,59.0,11.24,,21.03,61.0,0.94,7.57
1213,75.0,10.0,15.0,45.0,2026-07-12,Industrials,,-2.75,,-67.3,,,-10.83
1252,50.0,35.0,15.0,30.0,2026-07-12,Financials,,21.61,,33.94,28.73,,15.4
1221,50.0,35.0,15.0,30.0,2026-07-12,Financials,,,,201.91,,,
1250,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,8.82,,,43.53,10.48,0.11,6.1
1249,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,8.99,16.84,,78.49,20.72,0.43,4.0
1240,30.0,35.0,35.0,18.0,2026-07-12,,21.38,13.72,,15.15,27.41,1.13,5.94
1236,75.0,10.0,15.0,45.0,2026-07-12,Consumer Discretionary,134.12,-288.0,,,17.84,-99.75,-295.6
1235,2.0,69.0,29.0,1.2,2026-07-12,Consumer Discretionary,17.52,2.83,,12.81,28.89,0.61,1.62
1217,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,49.88,,106.78,,,23.5
1173,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,3.85,,44.66,11.06,0.39,
1209,50.0,35.0,15.0,30.0,2026-07-12,Technology,,26.5,,,,,
1203,50.0,35.0,15.0,30.0,2026-07-12,Industrials,,,,,,,
1197,75.0,10.0,15.0,45.0,2026-07-12,Healthcare,,,,,,,
1194,75.0,10.0,15.0,45.0,2026-07-12,Materials,,,,,,,
1190,50.0,35.0,15.0,30.0,2026-07-12,Industrials,,,,,,,
1195,50.0,35.0,15.0,30.0,2026-07-12,Healthcare,,,,,,,
1193,50.0,35.0,15.0,30.0,2026-07-12,Consumer Discretionary,,,,,,,
1187,50.0,35.0,15.0,30.0,2026-07-12,Technology,,,,,,,
1191,75.0,10.0,15.0,45.0,2026-07-12,Real Estate,,,,,,,
1189,75.0,10.0,15.0,45.0,2026-07-12,Technology,,,,,,,
1186,,,,,2026-07-12,,,,,,,,
1185,50.0,35.0,15.0,30.0,2026-07-12,Industrials,,,,,,,
1184,,,,,2026-07-12,Financials,,,,,,,
1181,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1179,,,,,2026-07-12,Healthcare,,,,,,,
1178,,,,,2026-07-12,Industrials,,,,,,,
1177,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1128,,,,,2026-07-12,Technology,,,,,,,
1168,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1172,,,,,2026-07-12,Financials,,,,,,,
1175,,,,,2026-07-12,Healthcare,,,,,,,
1166,,,,,2026-07-12,,,,,,,,
1170,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1151,,,,,2026-07-12,Financials,,,,,,,
1153,,,,,2026-07-12,,,,,,,,
1149,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1145,,,,,2026-07-12,Healthcare,,,,,,,
1143,,,,,2026-07-12,,,,,,,,
1141,,,,,2026-07-12,,,,,,,,
1140,,,,,2026-07-12,Financials,,,,,,,
1137,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1133,,,,,2026-07-12,Materials,,,,,,,
1138,,,,,2026-07-12,Healthcare,,,,,,,
1136,,,,,2026-07-12,Consumer Discretionary,,,,,,,
1135,,,,,2026-07-12,Healthcare,,,,,,,
1134,,,,,2026-07-12,Industrials,,,,,,,
1129,,,,,2026-07-12,,,,,,,,
1124,,,,,2026-07-12,,,,,,,,
1127,,,,,2026-07-12,Materials,,,,,,,
1126,,,,,2026-07-12,,,,,,,,
1999,50.0,35.0,15.0,30.0,2026-07-14,,,25.69,7.33,17.55,16.6,1.63,9.41
2688,50.0,35.0,15.0,30.0,2026-07-17,,31.12,17.26,,,38.01,0.41,10.86
