cg_ipo_id,symbol,yahoo_sector,yahoo_industry,sector,instrument,is_financial,is_realestate,source
155,ONMOBILE.BO,Communication Services,Telecom Services,Technology,equity,0,0,yahoo
154,532941.BO,,,Industrials,equity,0,0,name
153,JKIL.BO,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
128,RPOWER.BO,Utilities,Utilities - Independent Power Producers,Energy,equity,0,0,yahoo
151,,,,Financials,equity,1,0,name
213,533151.BO,,,Other,equity,0,0,unknown
212,GODREJPROP.NS,Real Estate,Real Estate - Development,Real Estate,equity,0,1,yahoo
211,533148.BO,,,Energy,equity,0,0,name
210,533152.BO,,,Industrials,equity,0,0,name
209,,,,Other,equity,0,0,unknown
208,533138.BO,,,Healthcare,equity,0,0,name
207,533137.BO,,,Other,equity,0,0,unknown
206,533122.BO,,,Energy,equity,0,0,name
205,533121.BO,,,Other,equity,0,0,unknown
204,533109.BO,,,Other,equity,0,0,unknown
203,533107.BO,,,Other,equity,0,0,unknown
201,OIL.NS,Energy,Oil & Gas Integrated,Energy,equity,0,0,yahoo
161,533104.BO,,,Other,equity,0,0,unknown
202,,,,Other,equity,0,0,unknown
200,533098.BO,,,Other,equity,0,0,unknown
199,533096.BO,,,Energy,equity,0,0,name
198,533093.BO,,,Energy,equity,0,0,name
197,533090.BO,,,Other,equity,0,0,unknown
196,533088.BO,,,Other,equity,0,0,unknown
194,,,,Other,equity,0,0,unknown
290,,,,Other,equity,0,0,unknown
289,533301.BO,,,Other,equity,0,0,unknown
288,533295.BO,,,Financials,equity,1,0,name
287,533292.BO,,,Industrials,equity,0,0,name
286,533294.BO,,,Consumer Discretionary,equity,0,0,name
282,533286.BO,,,Other,equity,0,0,unknown
284,,,,Healthcare,equity,0,0,name
281,533284.BO,,,Industrials,equity,0,0,name
280,533282.BO,,,Other,equity,0,0,unknown
258,533278.BO,,,Energy,equity,0,0,name
278,533275.BO,,,Materials,equity,0,0,name
277,533274.BO,,,Real Estate,equity,0,1,name
276,,,,Other,equity,0,0,unknown
275,533273.BO,,,Real Estate,equity,0,1,name
274,533272.BO,,,Real Estate,equity,0,1,name
273,533270.BO,,,Industrials,equity,0,0,name
272,533268.BO,,,Other,equity,0,0,unknown
270,533271.BO,,,Other,equity,0,0,unknown
269,,,,Other,equity,0,0,unknown
271,533267.BO,,,Consumer Discretionary,equity,0,0,name
259,533269.BO,,,Technology,equity,0,0,name
268,GALLANTT.NS,Basic Materials,Steel,Materials,equity,0,0,yahoo
267,,,,Materials,equity,0,0,name
266,533263.BO,,,Energy,equity,0,0,name
265,533262.BO,,,Industrials,equity,0,0,name
264,533259.BO,,,Financials,equity,1,0,name
261,533261.BO,,,Consumer Discretionary,equity,0,0,name
263,533260.BO,,,Technology,equity,0,0,name
260,533257.BO,,,Other,equity,0,0,unknown
256,533248.BO,,,Other,equity,0,0,unknown
255,533239.BO,,,Materials,equity,0,0,name
254,533229.BO,,,Other,equity,0,0,unknown
253,,,,Financials,equity,1,0,name
251,,,,Industrials,equity,0,0,name
250,533217.BO,,,Consumer Discretionary,equity,0,0,name
248,533216.BO,,,Technology,equity,0,0,name
249,,,,Other,equity,0,0,unknown
247,,,,Healthcare,equity,0,0,name
243,,,,Real Estate,equity,0,1,name
241,533206.BO,,,Other,equity,0,0,unknown
242,533204.BO,,,Industrials,equity,0,0,name
239,533203.BO,,,Other,equity,0,0,unknown
240,533202.BO,,,Real Estate,equity,0,1,name
238,533200.BO,,,Other,equity,0,0,unknown
237,533189.BO,,,Consumer Discretionary,equity,0,0,name
236,533181.BO,,,Technology,equity,0,0,name
235,,,,Consumer Discretionary,equity,0,0,name
234,PERSISTENT.NS,Technology,Information Technology Services,Technology,equity,0,0,yahoo
233,533177.BO,,,Industrials,equity,0,0,name
232,,,,Other,equity,0,0,unknown
231,533176.BO,,,Consumer Discretionary,equity,0,0,name
229,,,,Financials,equity,1,0,name
228,MANINFRA.NS,Industrials,Engineering & Construction,Industrials,equity,0,0,yahoo
227,533164.BO,,,Other,equity,0,0,unknown
225,533162.BO,,,Other,equity,0,0,unknown
226,533163.BO,,,Industrials,equity,0,0,name
222,533161.BO,,,Other,equity,0,0,unknown
224,533160.BO,,,Real Estate,equity,0,1,name
221,533156.BO,,,Other,equity,0,0,unknown
220,,,,Healthcare,equity,0,0,name
219,533158.BO,,,Consumer Discretionary,equity,0,0,name
216,,,,Industrials,equity,0,0,name
218,533155.BO,,,Consumer Discretionary,equity,0,0,name
214,,,,Technology,equity,0,0,name
333,533676.BO,,,Financials,equity,1,0,name
329,533638.BO,,,Other,equity,0,0,unknown
326,,,,Other,equity,0,0,unknown
330,533644.BO,,,Other,equity,0,0,unknown
332,533632.BO,,,Financials,equity,1,0,name
