company,listing_date,issue_price,yahoo_symbol,ret_1d,basis,yahoo_first_date,yahoo_last_date,delisted,ret_6m,ret_12m,ret_24m,bottom_12m_pct,sessions_to_bottom,peak_24m_pct,sessions_to_peak,cg_ipo_id,current_ret,bottom_so_far_pct,bottom_so_far_session
Jaiprakash Hydro-Power Ltd.,2005-04-18,32.0,532627.BO,-2.7,cg_bridge,2005-04-18,2007-06-26,False,7.8,-5.2,-4.2,-15.2,32.0,20.0,266.0,3015,,,
Gateway Distriparks Ltd.,2005-03-31,72.0,,,,,,,,,,,,,,3013,,,
UTV Software Communications Ltd.,2005-03-17,130.0,,,,,,,,,,,,,,3010,,,
Jet Airways (India) Ltd.,2005-03-14,1100.0,,,,,,,,,,,,,,3009,,,
Cambridge Technology Enterprises Ltd.,2007-02-07,38.0,CTE.NS,165.5,cg_bridge,2007-02-07,2009-04-16,False,26.9,73.7,-61.8,8.1,136.0,159.0,224.0,36,,,
Lumax Auto Technologies Ltd.,2007-01-16,75.0,LUMAXTECH.NS,47.6,cg_bridge,2007-01-16,2009-03-25,False,30.4,4.1,-73.0,-14.5,34.0,39.6,79.0,33,,,
Shree Ashtavinayak Cine Vision Ltd.,2007-01-10,160.0,,,,,,,,,,,,,,35,,,
Cairn India Ltd.,2007-01-09,160.0,,,,,,,,,,,,,,29,,,
Pyramid Saimira Theatre Ltd.,2007-01-05,100.0,,,,,,,,,,,,,,34,,,
Nissan Copper Ltd.,2006-12-29,39.0,,,,,,,,,,,,,,32,,,
XL Telecom Ltd.,2006-12-28,150.0,532788.BO,-9.3,yahoo_raw,2006-12-28,2009-03-06,False,-13.7,282.1,-68.3,-36.9,55.0,282.1,251.0,28,,,
Ess Dee Aluminium Ltd.,2006-12-28,225.0,,,,,,,,,,,,,,30,,,
Sobha Developers Ltd.,2006-12-20,640.0,,,,,,,,,,,,,,22,,,
Ruchira Papers Ltd.,2006-12-20,23.0,RUCHIRA.NS,-8.5,cg_bridge,2006-12-20,2009-02-26,False,-40.0,-2.2,-73.9,-43.9,67.0,40.9,259.0,25,,,
LT Overseas Ltd.,2006-12-18,56.0,,,,,,,,,,,,,,26,,,
Blue Bird (India) Ltd.,2006-12-11,105.0,,,,,,,,,,,,,,23,,,
Parsvnath Developers Ltd.,2006-11-30,300.0,PARSVNATH.NS,75.5,cg_bridge,2006-11-30,2009-02-06,False,5.7,18.1,-88.2,-24.6,64.0,91.4,273.0,20,,,
Lanco Infratech Ltd.,2006-11-27,240.0,,,,,,,,,,,,,,21,,,
Info Edge (India) Ltd.,2006-11-21,320.0,NAUKRI.NS,85.2,cg_bridge,2006-11-21,2009-01-28,False,153.1,336.6,25.2,66.1,16.0,400.7,254.0,19,,,
Accel Frontline Ltd.,2006-10-30,75.0,,,,,,,,,,,,,,15,,,
Global Vectra Helicorp Ltd.,2006-10-27,185.0,GLOBALVECT.NS,1.4,cg_bridge,2006-10-27,2009-01-02,False,22.5,-12.7,-83.4,-14.8,244.0,1.7,294.0,16,,,
Development Credit Bank Ltd.,2006-10-27,26.0,532772.BO,82.5,cg_bridge,2006-10-27,2009-01-02,False,175.9,292.3,-2.6,61.8,2.0,508.6,295.0,17,,,
JHS Svendgaard Laboratories Ltd.,2006-10-21,58.0,JHS.NS,-1.8,cg_bridge,2006-10-23,2008-12-26,False,-36.0,-29.1,-68.7,-46.6,104.0,52.9,294.0,13,,,
Hanung Toys & Textiles Ltd.,2006-10-20,95.0,,,,,,,,,,,,,,14,,,
Fiem Industries Ltd.,2006-10-19,137.0,FIEMIND.NS,-11.3,cg_bridge,2006-10-19,2008-12-26,False,-14.0,-27.2,-67.4,-39.1,99.0,-6.1,297.0,10,,,
Gayatri Projects Ltd.,2006-10-17,295.0,GAYAPROJ.BO,1.3,cg_bridge,2006-10-17,2008-12-24,False,-12.1,-3.7,-54.8,-28.7,112.0,129.6,311.0,11,,,
Richa Knits Ltd.,2006-10-12,30.0,532766.BO,0.8,cg_bridge,2006-10-12,2008-12-19,False,-29.8,-33.5,171.7,-45.8,199.0,260.2,481.0,9,,,
Usher Agro Ltd.,2006-10-06,15.0,,,,,,,,,,,,,,7,,,
Gwalior Chemical Industries Ltd.,2006-10-04,81.0,532764.BO,15.9,cg_bridge,2006-10-04,2008-12-11,False,-31.8,-14.4,-20.9,-38.4,102.0,49.0,315.0,8,,,
HOV Services Ltd.,2006-09-27,200.0,,,,,,,,,,,,,,6,,,
Action Construction Equipment Ltd.,2006-09-26,130.0,ACE.BO,49.0,cg_bridge,2006-09-26,2008-12-03,False,46.6,169.8,104.1,31.3,108.0,392.8,317.0,4,,,
KEW Industries Ltd.,2006-09-25,30.0,,,,,,,,,,,,,,3,,,
Deep Industries Ltd.,2006-09-25,36.0,,,,,,,,,,,,,,2,,,
Atlanta Ltd.,2006-09-25,150.0,,,,,,,,,,,,,,5,,,
Voltamp Transformers Ltd.,2006-09-20,345.0,VOLTAMP.NS,20.7,cg_bridge,2006-09-20,2008-11-27,False,61.9,286.3,112.2,20.7,0.0,445.0,316.0,1,,,
Tech Mahindra Ltd.,2006-08-28,365.0,TECHM.NS,51.8,cg_bridge,2006-08-28,2008-11-04,False,308.8,231.7,113.2,44.7,2.0,442.7,97.0,2929,,,
GMR Infrastructure Ltd.,2006-08-21,210.0,,,,,,,,,,,,,,2928,,,
Allcargo Global Logistics Ltd.,2006-06-23,675.0,,,,,,,,,,,,,,2927,,,
Prime Focus Ltd.,2006-06-20,417.0,PFOCUS.NS,-21.8,cg_bridge,2006-06-20,2008-08-27,False,-28.2,85.2,12.9,-32.0,7.0,246.4,386.0,2926,,,
Deccan Aviation Ltd.,2006-06-12,148.0,,,,,,,,,,,,,,2923,,,
Unity Infraprojects Ltd.,2006-06-12,675.0,,,,,,,,,,,,,,2925,,,
JRG Securities Ltd.,2006-05-18,40.0,532745.BO,4.6,cg_bridge,2006-05-18,2008-07-25,False,-9.7,-16.0,26.9,-38.2,15.0,200.9,409.0,2919,,,
Reliance Petroleum Ltd.,2006-05-11,60.0,,,,,,,,,,,,,,2918,,,
Kamdhenu Ispat Ltd.,2006-05-09,25.0,,,,,,,,,,,,,,2914,,,
Plethico Pharmaceuticals Ltd.,2006-05-05,300.0,,,,,,,,,,,,,,2917,,,
Lokesh Machines Ltd.,2006-05-05,140.0,LOKESHMACH.NS,62.4,cg_bridge,2006-05-05,2008-07-11,False,-5.1,-4.0,-48.0,-28.1,56.0,22.9,135.0,2916,,,
Sun TV Ltd.,2006-04-28,875.0,SUNTV.NS,67.4,cg_bridge,2006-04-24,2008-07-04,False,37.9,81.4,40.4,1.3,32.0,108.6,199.0,2915,,,
Emkay Share & Stock Brokers Ltd.,2006-04-28,120.0,,,,,,,,,,,,,,2912,,,
R Systems International Ltd.,2006-04-26,250.0,RSYSTEMS.NS,-0.1,cg_bridge,2006-04-26,2008-07-03,False,-32.8,-43.6,-57.1,-55.6,62.0,-15.1,151.0,2911,,,
Godawari Power & Ispat Ltd.,2006-04-25,81.0,GPIL.BO,27.4,cg_bridge,2006-04-25,2008-07-02,False,5.3,38.0,154.3,-40.4,35.0,345.1,423.0,2910,,,
Kewal Kiran Clothing Ltd.,2006-04-13,260.0,KKCL.NS,-6.4,cg_bridge,2006-04-13,2008-06-20,False,-9.9,-21.2,11.7,-35.2,74.0,111.9,440.0,2906,,,
Rohit Ferro-Tech Ltd.,2006-04-13,30.0,,,,,,,,,,,,,,2901,,,
Uttam Sugar Mills Ltd.,2006-04-10,340.0,532729.BO,22.4,cg_bridge,2006-04-10,2008-06-17,False,-44.1,-61.7,-79.4,-71.3,237.0,-58.8,438.0,2905,,,
Shivalik Global Ltd.,2006-04-10,60.0,,,,,,,,,,,,,,2902,,,
Adhunik Metaliks Ltd.,2006-04-05,37.0,,,,,,,,,,,,,,2904,,,
Malu Paper Mills Ltd.,2006-04-05,30.0,MALUPAPER.NS,8.2,cg_bridge,2006-04-05,2008-06-12,False,-37.0,-4.2,1.2,-57.8,78.0,125.7,437.0,2900,,,
Gallantt Metal Ltd.,2006-04-04,10.0,,,,,,,,,,,,,,2899,,,
Solar Explosives Ltd.,2006-04-03,190.0,532725.BO,0.0,cg_bridge,2006-04-03,2008-06-10,False,-46.8,-57.8,67.3,-63.1,232.0,99.1,449.0,2903,,,
Nitco Tiles Ltd.,2006-03-21,168.0,,,,,,,,,,,,,,2897,,,
Visa Steel Ltd.,2006-03-17,57.0,,,,,,,,,,,,,,2898,,,
B.L.Kashyap & Sons Ltd.,2006-03-17,685.0,,,,,,,,,,,,,,2894,,,
Mahindra & Mahindra Financial Services Ltd.,2006-03-17,200.0,M&MFIN.NS,16.3,cg_bridge,2006-03-17,2008-05-23,False,15.7,15.0,45.1,-15.0,55.0,75.2,446.0,2895,,,
Pratibha Industries Ltd.,2006-03-16,120.0,,,,,,,,,,,,,,2893,,,
Indo-Tech Transformers Ltd.,2006-03-16,130.0,532717.BO,83.9,cg_bridge,2006-03-16,2008-05-23,False,24.3,102.5,316.4,-2.9,58.0,516.9,453.0,2889,,,
Gitanjali Gems Ltd.,2006-03-10,195.0,532715.BO,-14.1,cg_bridge,2006-03-10,2008-05-16,False,9.7,2.8,43.5,-42.8,93.0,139.0,436.0,2891,,,
Sakuma Exports Ltd.,2006-03-08,50.0,SAKUMA.NS,-5.8,cg_bridge,2006-03-08,2008-05-15,False,-57.8,-65.9,-65.8,-67.9,65.0,7.1,454.0,2887,,,
Sunil Hitech Engineers Ltd.,2006-03-02,100.0,,,,,,,,,,,,,,2884,,,
Sadbhav Engineering Ltd.,2006-03-01,185.0,SADBHAV.NS,73.3,cg_bridge,2006-03-01,2008-05-08,False,110.8,149.0,654.9,24.4,71.0,711.7,468.0,2886,,,
GVK Power & Infrastructure Ltd.,2006-02-27,310.0,GVKPIL.NS,1.9,cg_bridge,2006-02-27,2008-05-06,False,-39.5,6.5,69.8,-57.2,100.0,175.5,461.0,2885,,,
Inox Leisure Ltd.,2006-02-23,120.0,,,,,,,,,,,,,,2883,,,
Dynemic Products Ltd.,2006-02-23,35.0,DYNPRO.BO,-19.4,cg_bridge,2006-02-23,2008-05-02,False,-44.3,-45.3,-39.7,-59.0,74.0,5.6,462.0,2879,,,
Jagran Prakashan Ltd.,2006-02-22,320.0,JAGRAN.NS,-15.3,cg_bridge,2006-02-22,2008-04-30,False,-4.6,38.6,109.2,-45.7,75.0,203.8,467.0,2882,,,
Gujarat State Petronet Ltd.,2006-02-16,27.0,,,,,,,,,,,,,,2881,,,
Sree Sakthi Paper Mills Ltd.,2006-02-16,30.0,532701.BO,-2.7,cg_bridge,2006-02-16,2008-04-25,False,-62.5,-58.1,-48.2,-68.7,79.0,-1.8,467.0,2878,,,
Entertainment Network (India) Ltd.,2006-02-15,162.0,ENIL.NS,63.4,cg_bridge,2006-02-16,2008-04-24,False,50.9,99.1,187.6,4.3,79.0,317.4,453.0,2880,,,
Royal Orchid Hotels Ltd.,2006-02-06,165.0,ROHLTD.NS,40.2,cg_bridge,2006-02-06,2008-04-15,False,-5.3,27.3,-26.4,-39.7,83.0,32.1,243.0,2875,,,
Nitin Spinners Ltd.,2006-02-02,21.0,NITINSPIN.NS,23.8,cg_bridge,2006-02-02,2008-04-11,False,-48.6,0.2,-31.0,-55.0,117.0,29.3,474.0,2873,,,
Precision Pipes & Profiles Co.Ltd.,2019-12-02,150.0,,,,,,,,,,,,,,149,,,
Barak Valley Cements Ltd.,2019-07-01,42.0,BVCL.NS,31.7,cg_bridge,2019-06-26,2021-09-07,False,7.7,19.3,97.1,-35.4,188.0,114.6,493.0,134,,,
Aries Agro Ltd.,2008-01-11,130.0,ARIES.NS,93.4,cg_bridge,2008-01-11,2010-03-19,False,-19.1,-72.2,-34.2,-72.4,236.0,-34.1,482.0,146,,,
BGR Energy Systems Ltd.,2008-01-03,480.0,BGRENERGY.NS,87.8,cg_bridge,2008-01-03,2010-03-12,False,-55.0,-66.3,1.3,-75.3,224.0,8.1,436.0,142,,,
Burnpur Cement Ltd.,2008-01-03,12.0,,,,,,,,,,,,,,141,,,
eClerx Services Ltd.,2007-12-31,315.0,ECLERX.NS,42.8,cg_bridge,2007-12-31,2010-03-09,False,-28.6,-68.2,32.0,-74.7,204.0,34.7,453.0,143,,,
Brigade Enterprises Ltd.,2007-12-31,390.0,BRIGADE.NS,-2.6,cg_bridge,2007-12-31,2010-03-09,False,-72.6,-89.5,-66.7,-91.2,205.0,-63.6,472.0,145,,,
Transformers & Rectifiers (India) Ltd.,2007-12-28,465.0,,,,,,,,,,,,,,144,,,
Jyothy Laboratories Ltd.,2007-12-19,690.0,,,,,,,,,,,,,,139,,,
Kaushalya Infrastructure Development Corp.Ltd.,2007-12-14,60.0,KAUSHALYA.NS,37.4,cg_bridge,2007-12-14,2010-02-19,False,-49.5,-79.1,-67.3,-84.4,232.0,-42.3,356.0,140,,,
Kolte-Patil Developers Ltd.,2007-12-13,145.0,532924.BO,25.1,cg_bridge,2007-12-13,2010-02-19,False,-39.0,-80.1,-65.6,-85.5,243.0,-56.8,368.0,137,,,
Renaissance Jewellery Ltd.,2007-12-12,150.0,,,,,,,,,,,,,,138,,,
Edelweiss Capital Ltd.,2007-12-12,825.0,532922.BO,83.1,cg_bridge,2007-12-12,2010-02-18,False,-25.3,-69.5,-44.2,-70.6,246.0,-35.2,464.0,136,,,
Mundra Port & Special Economic Zone Ltd.,2007-11-27,440.0,532921.BO,118.8,cg_bridge,2007-11-27,2010-02-03,False,98.4,-39.1,24.9,-39.1,253.0,55.7,386.0,132,,,
Empee Distilleries Ltd.,2007-11-26,400.0,,,,,,,,,,,,,,135,,,
Allied Computers International (Asia) Ltd.,2007-11-23,12.0,,,,,,,,,,,,,,119,,,
Rathi Bars Ltd.,2007-11-23,35.0,532918.BO,-8.9,cg_bridge,2007-11-23,2010-01-29,False,-52.0,-82.3,-75.4,-82.9,228.0,-66.2,420.0,129,,,
Varun Industries Ltd.,2007-11-22,60.0,,,,,,,,,,,,,,133,,,
Religare Enterprises Ltd.,2007-11-21,185.0,RELIGARE.BO,184.0,cg_bridge,2007-11-21,2010-01-28,False,119.5,71.5,103.2,71.5,245.0,168.4,372.0,131,,,
Circuit Systems (India) Ltd.,2007-11-02,35.0,,,,,,,,,,,,,,124,,,
Maytas Infra Ltd.,2007-10-25,370.0,532907.BO,65.8,cg_bridge,2007-10-25,2009-12-31,False,69.9,14.0,-56.0,7.9,181.0,39.0,265.0,127,,,
Saamya Biotech (India) Ltd.,2007-10-19,10.0,,,,,,,,,,,,,,126,,,
Supreme Infrastructure India Ltd.,2007-10-18,108.0,SUPREMEINF.BO,62.1,cg_bridge,2007-10-18,2009-12-24,False,-8.7,-63.6,26.2,-64.5,245.0,27.6,487.0,125,,,
Dhanus Technologies Ltd.,2007-10-17,295.0,,,,,,,,,,,,,,121,,,
Consolidated Construction Consortium Ltd.,2007-10-15,510.0,CCCL.NS,55.3,cg_bridge,2007-10-15,2009-12-22,False,24.1,-26.8,-38.0,-27.6,245.0,-24.2,246.0,123,,,
Koutons Retail India Ltd.,2007-10-12,415.0,,,,,,,,,,,,,,122,,,
Power Grid Corp.of India Ltd.,2007-10-05,52.0,,,,,,,,,,,,,,118,,,
Kaveri Seed Co.Ltd.,2007-10-04,170.0,KSCL.BO,35.8,cg_bridge,2007-10-04,2009-12-11,False,60.6,3.3,49.5,-2.6,246.0,55.4,487.0,120,,,
Magnum Ventures Ltd.,2007-09-20,30.0,532896.BO,64.7,cg_bridge,2007-09-20,2009-11-27,False,-57.4,-54.9,-60.3,-65.5,197.0,-40.0,241.0,116,,,
Indowind Energy Ltd.,2007-09-14,65.0,INDOWIND.BO,74.8,cg_bridge,2007-09-14,2009-11-20,False,0.3,-12.4,-34.1,-27.3,132.0,37.9,136.0,115,,,
Motilal Oswal Financial Services Ltd.,2007-09-11,825.0,532892.BO,18.4,cg_bridge,2007-09-11,2009-11-18,False,-14.0,-34.9,1.7,-45.0,215.0,10.8,437.0,114,,,
Puravankara Projects Ltd.,2007-08-30,400.0,,,,,,,,,,,,,,110,,,
K.P.R.Mill Ltd.,2007-08-28,225.0,KPRMILL.BO,-22.6,cg_bridge,2007-08-28,2009-11-04,False,-37.5,-59.2,-73.2,-62.6,219.0,-53.6,242.0,112,,,
TAKE Solutions Ltd.,2007-08-27,730.0,TAKE.NS,27.1,cg_bridge,2007-08-27,2009-11-03,False,34.0,-15.3,-41.2,-29.5,222.0,-11.1,254.0,111,,,
Asian Granito India Ltd.,2007-08-23,97.0,ASIANTILES.NS,-2.9,cg_bridge,2007-08-23,2009-10-30,False,-28.2,-45.6,-61.5,-58.0,145.0,-22.0,173.0,108,,,
Central Bank of India,2007-08-21,102.0,CENTRALBK.BO,13.0,cg_bridge,2007-08-21,2009-10-28,False,3.3,-40.7,-3.0,-45.9,225.0,1.8,472.0,104,,,
SEL Manufacturing Co.Ltd.,2007-08-21,90.0,SELMC.NS,60.8,cg_bridge,2007-08-21,2009-10-28,False,132.0,208.3,-37.8,-24.0,43.0,562.0,236.0,109,,,
Refex Refrigerants Ltd.,2007-08-20,65.0,,,,,,,,,,,,,,105,,,
Zylog Systems Ltd.,2007-08-17,350.0,,,,,,,,,,,,,,106,,,
IVR Prime Urban Developers Ltd.,2007-08-16,550.0,,,,,,,,,,,,,,107,,,
Omnitech InfoSolutions Ltd.,2007-08-14,105.0,,,,,,,,,,,,,,103,,,
Omaxe Ltd.,2007-08-09,310.0,OMAXE.NS,12.7,cg_bridge,2007-08-09,2009-10-16,False,-10.2,-55.5,-67.3,-62.8,232.0,-54.2,250.0,100,,,
Alpa Laboratories Ltd.,2007-08-06,68.0,ALPA.NS,-18.9,cg_bridge,2007-08-06,2009-10-13,False,-47.2,-69.9,-79.6,-76.3,238.0,-56.5,254.0,101,,,
Simplex Projects Ltd.,2007-08-03,185.0,,,,,,,,,,,,,,102,,,
Everonn Systems India Ltd.,2007-08-01,140.0,,,,,,,,,,,,,,98,,,
Allied Digital Services Ltd.,2007-07-25,190.0,ADSL.NS,73.8,cg_bridge,2007-07-25,2009-10-01,False,313.8,358.6,71.8,48.6,19.0,473.2,113.0,99,,,
Housing Development & Infrastructure Ltd.,2007-07-24,500.0,,,,,,,,,,,,,,97,,,
Suryachakra Power Corp.Ltd.,2007-07-23,20.0,,,,,,,,,,,,,,95,,,
Spice Communications Ltd.,2007-07-19,46.0,,,,,,,,,,,,,,96,,,
Celestial Labs Ltd.,2007-07-17,60.0,,,,,,,,,,,,,,91,,,
Ankit Metal & Power Ltd.,2007-07-10,36.0,532870.BO,2.6,cg_bridge,2007-07-10,2009-09-16,False,153.6,82.4,-53.1,2.2,1.0,185.8,223.0,92,,,
Roman Tarmat Ltd.,2007-07-09,175.0,532869.BO,82.4,cg_bridge,2007-07-09,2009-09-15,False,15.8,-70.1,-78.9,-71.5,250.0,-66.9,255.0,89,,,
DLF Ltd.,2007-07-05,525.0,DLF.NS,8.5,cg_bridge,2007-07-05,2009-09-11,False,107.8,-20.9,-35.8,-29.7,246.0,8.3,275.0,86,,,
Vishal Retail Ltd.,2007-07-04,270.0,532867.BO,178.9,cg_bridge,2007-07-05,2009-09-10,False,280.7,109.4,-74.9,109.4,252.0,109.4,252.0,90,,,
Meghmani Organics Ltd.,2007-06-28,19.0,,,,,,,,,,,,,,87,,,
Nelcast Ltd.,2007-06-27,219.0,NELCAST.NS,-5.3,cg_bridge,2007-06-27,2009-09-03,False,-29.7,-60.6,-82.8,-61.7,183.0,-44.4,203.0,88,,,
Decolight Ceramics Ltd.,2007-06-19,54.0,,,,,,,,,,,,,,85,,,
Glory Polyfilms Ltd.,2007-06-18,48.0,,,,,,,,,,,,,,82,,,
Time Technoplast Ltd.,2007-06-13,315.0,532856.BO,52.7,cg_bridge,2007-06-13,2009-08-20,False,144.5,141.6,32.4,50.3,2.0,227.0,144.0,84,,,
Nitin Fire Protection Industries Ltd.,2007-06-05,190.0,,,,,,,,,,,,,,83,,,
Asahi Songwon Colors Ltd.,2007-06-04,90.0,532853.BO,-0.1,cg_bridge,2007-06-04,2009-08-11,False,-40.7,-48.9,-68.3,-67.7,202.0,-35.0,245.0,81,,,
MIC Electronics Ltd.,2007-05-30,150.0,MICEL.NS,125.4,cg_bridge,2007-05-30,2009-08-06,False,298.0,395.3,25.7,115.4,10.0,597.7,145.0,78,,,
Insecticides (India) Ltd.,2007-05-30,115.0,532851.BO,-4.8,cg_bridge,2007-05-30,2009-08-06,False,-41.2,-57.4,-52.8,-69.7,205.0,-44.2,310.0,80,,,
Binani Cement Ltd.,2007-05-28,75.0,,,,,,,,,,,,,,79,,,
Hilton Metal Forging Ltd.,2007-05-24,70.0,HILTON.BO,-3.2,cg_bridge,2007-05-24,2009-07-31,False,-48.2,-53.8,-72.4,-71.6,209.0,-43.4,247.0,75,,,
Bhagwati Banquets & Hotels Ltd.,2007-05-17,40.0,532845.BO,22.6,cg_bridge,2007-05-17,2009-07-24,False,74.9,111.6,-20.7,-24.0,52.0,126.6,140.0,77,,,
Fortis Healthcare Ltd.,2007-05-09,108.0,FORTIS.BO,-7.3,cg_bridge,2007-05-09,2009-07-16,False,-34.9,-23.9,-33.0,-43.3,220.0,-19.7,247.0,76,,,
Advanta India Ltd.,2007-04-19,640.0,,,,,,,,,,,,,,73,,,
ICRA Ltd.,2007-04-13,330.0,ICRA.NS,143.4,cg_bridge,2007-04-13,2009-06-19,False,191.2,103.7,47.3,61.5,236.0,132.2,257.0,71,,,
Orbit Corp.Ltd.,2007-04-12,110.0,,,,,,,,,,,,,,72,,,
Gremach Infrastructure Equipments & Projects Ltd.,2007-04-11,86.0,,,,,,,,,,,,,,70,,,
Astral Poly Technik Ltd.,2007-03-20,115.0,,,,,,,,,,,,,,62,,,
Lawreshwar Polymers Ltd.,2007-03-19,16.0,532829.BO,-12.5,cg_bridge,2007-03-19,2009-05-26,False,-36.1,-58.6,-73.0,-58.6,251.0,-42.1,292.0,52,,,
Jagjanani Textiles Ltd.,2007-03-19,25.0,532825.BO,-7.4,cg_bridge,2007-03-19,2009-05-26,False,-53.0,-76.4,-89.3,-76.4,251.0,-66.8,284.0,59,,,
AMD Metplast Ltd.,2007-03-19,75.0,532828.BO,3.9,cg_bridge,2007-03-19,2009-05-26,False,-41.1,-64.5,-75.7,-65.2,250.0,-53.8,275.0,64,,,
Abhishek Mills Ltd.,2007-03-19,100.0,532831.BO,-8.8,yahoo_raw,2007-03-19,2009-05-26,False,-53.6,-71.0,-88.2,-71.0,252.0,-50.0,277.0,66,,,
Raj Television Network Ltd.,2007-03-16,257.0,RAJTV.NS,-12.1,cg_bridge,2007-03-16,2009-05-22,False,-10.0,-55.0,-87.5,-55.0,250.0,-44.5,278.0,65,,,
Page Industries Ltd.,2007-03-16,360.0,PAGEIND.NS,-24.5,cg_bridge,2007-03-16,2009-05-22,False,20.8,30.4,-10.9,-32.0,4.0,47.2,281.0,69,,,
Euro Ceramics Ltd.,2007-03-09,165.0,,,,,,,,,,,,,,54,,,
Mudra Lifestyle Ltd.,2007-03-09,90.0,532820.BO,-28.9,cg_bridge,2007-03-09,2009-05-15,False,-25.8,-53.0,-87.4,-53.0,250.0,-43.3,288.0,55,,,
Idea Cellular Ltd.,2007-03-09,75.0,,,,,,,,,,,,,,50,,,
Indus Fila Ltd.,2007-03-08,170.0,,,,,,,,,,,,,,63,,,
Oriental Trimex Ltd.,2007-03-07,48.0,532817.BO,-38.1,cg_bridge,2007-03-07,2009-05-14,False,-59.9,-57.9,-89.5,-66.3,171.0,-25.1,208.0,57,,,
MindTree Consulting Ltd.,2007-03-07,425.0,,,,,,,,,,,,,,60,,,
Broadcast Initiatives Ltd.,2007-03-07,120.0,,,,,,,,,,,,,,61,,,
Evinix Accessories Ltd.,2007-03-07,120.0,,,,,,,,,,,,,,58,,,
Indian Bank,2007-03-01,91.0,SOUTHBANK.NS,8.1,cg_bridge,2007-02-26,2009-05-08,False,52.3,92.3,-37.3,-7.5,7.0,174.4,214.0,48,,,
SMS Pharmaceuticals Ltd.,2007-02-28,380.0,SMSPHARMA.NS,-5.5,cg_bridge,2007-02-28,2009-05-07,False,-27.2,-47.2,-80.3,-49.7,242.0,-17.2,305.0,51,,,
Transwarranty Finance Ltd.,2007-02-26,52.0,TFL.NS,-8.8,cg_bridge,2007-02-26,2009-05-05,False,-51.3,-46.6,-86.0,-51.8,171.0,3.0,216.0,47,,,
C & C Constructions Ltd.,2007-02-26,291.0,,,,,,,,,,,,,,53,,,
Power Finance Corp.Ltd.,2007-02-23,85.0,PFC.BO,31.3,cg_bridge,2007-02-23,2009-04-30,False,100.8,118.0,61.7,18.9,26.0,239.7,181.0,45,,,
Firstsource Solutions Ltd.,2007-02-22,64.0,FSL.NS,24.3,cg_bridge,2007-02-22,2009-04-30,False,10.1,-15.6,-78.4,-26.7,245.0,-12.3,251.0,49,,,
House of Pearl Fashions Ltd.,2007-02-15,550.0,532808.BO,-14.5,cg_bridge,2007-02-15,2009-04-24,False,-50.2,-65.5,-91.6,-69.1,234.0,-63.1,237.0,38,,,
Redington (India) Ltd.,2007-02-15,113.0,,,,,,,,,,,,,,46,,,
Cinemax India Ltd.,2007-02-14,155.0,532807.BO,-1.7,cg_bridge,2007-02-14,2009-04-23,False,-12.1,-34.5,-73.9,-38.2,251.0,-21.3,303.0,42,,,
Technocraft Industries (India) Ltd.,2007-02-12,105.0,TIIL.BO,-4.7,cg_bridge,2007-02-12,2009-04-21,False,-32.8,-37.2,-78.4,-49.0,236.0,-25.4,248.0,44,,,
Pochiraju Industries Ltd.,2007-02-09,30.0,,,,,,,,,,,,,,40,,,
Global Broadcast News Ltd.,2007-02-08,250.0,,,,,,,,,,,,,,39,,,
Akruti Nirman Ltd.,2007-02-07,540.0,532799.BO,4.3,cg_bridge,2007-02-07,2009-04-16,False,-4.3,129.2,67.9,-39.9,99.0,139.0,239.0,43,,,
Autoline Industries Ltd.,2007-01-31,225.0,AUTOIND.NS,14.3,cg_bridge,2007-01-31,2009-04-09,False,-14.0,-11.7,-73.6,-31.0,207.0,20.9,314.0,37,,,
Alkali Metals Ltd.,2008-11-06,103.0,533029.BO,68.4,cg_bridge,2008-11-06,2011-01-14,False,179.8,38.8,-6.7,12.7,34.0,264.3,140.0,192,,,
Chemcel Bio-tech Ltd.,2008-10-13,16.0,,,,,,,,,,,,,,191,,,
20 Microns Ltd.,2008-09-06,55.0,,,,,,,,,,,,,,190,,,
Austral Coke & Projects Ltd.,2008-09-04,196.0,,,,,,,,,,,,,,188,,,
Resurgere Mines & Minerals India Ltd.,2008-09-01,270.0,533017.BO,-22.8,yahoo_raw,2008-09-02,2010-11-09,False,-94.6,-89.2,-91.1,-95.4,128.0,-82.8,478.0,189,,,
Nu Tek India Ltd.,2008-08-27,192.0,,,,,,,,,,,,,,187,,,
Vishal Information Technologies Ltd.,2008-08-11,150.0,,,,,,,,,,,,,,186,,,
Birla Cotsyn (India) Ltd.,2008-07-30,14.0,,,,,,,,,,,,,,185,,,
Somi Conveyor Beltings Ltd.,2008-07-24,35.0,SOMICONVEY.BO,-26.0,cg_bridge,2008-07-24,2010-10-01,False,-72.9,-69.4,-53.9,-76.2,63.0,-53.1,400.0,183,,,
KSK Energy Ventures Ltd.,2008-07-14,240.0,,,,,,,,,,,,,,184,,,
Lotus Eye Care Hospital Ltd.,2008-07-11,38.0,,,,,,,,,,,,,,182,,,
First Winner Industries Ltd.,2008-07-08,125.0,,,,,,,,,,,,,,180,,,
Archidply Industries Ltd.,2008-07-04,74.0,ARCHIDPLY.BO,-31.7,cg_bridge,2008-07-04,2010-09-09,False,-68.9,-63.4,-57.3,-82.4,163.0,-44.4,366.0,181,,,
Avon Weighing Systems Ltd.,2008-07-03,10.0,,,,,,,,,,,,,,178,,,
