company,listing_date,issue_price,yahoo_symbol,ret_1d,basis,yahoo_first_date,yahoo_last_date,delisted,ret_6m,ret_12m,ret_24m,bottom_12m_pct,sessions_to_bottom,peak_24m_pct,sessions_to_peak,cg_ipo_id,current_ret,bottom_so_far_pct,bottom_so_far_session
Indian Railway Catering & Tourism Corp.Ltd.,2019-10-14,320.0,IRCTC.NS,127.4,cg_bridge,2019-10-14,2021-12-21,False,303.4,317.7,1440.2,119.0,2.0,1440.2,498.0,1018,,,
Sterling & Wilson Solar Ltd.,2019-08-20,780.0,,,,,,,,,,,,,,1007,,,
Spandana Sphoorty Financial Ltd.,2019-08-19,856.0,SPANDANA.NS,-1.0,cg_bridge,2019-08-19,2021-10-26,False,17.0,-32.6,-24.1,-51.9,168.0,-7.3,350.0,1006,,,
Affle (India) Ltd.,2019-08-08,745.0,AFFLE.NS,17.3,cg_bridge,2019-08-08,2021-10-14,False,127.6,147.3,458.6,4.4,9.0,705.9,389.0,1005,,,
IndiaMART InterMESH Ltd.,2019-07-04,973.0,INDIAMART.NS,33.8,cg_bridge,2019-07-04,2021-09-09,False,110.4,115.8,646.8,16.4,28.0,923.6,339.0,998,,,
Neogen Chemicals Ltd.,2019-05-08,215.0,NEOGEN.NS,22.6,cg_bridge,2019-05-08,2021-07-15,False,75.8,108.5,316.0,14.1,6.0,335.9,477.0,984,,,
Polycab India Ltd.,2019-04-16,538.0,POLYCAB.NS,21.7,cg_bridge,2019-04-16,2021-06-23,False,31.0,37.1,162.8,-0.4,85.0,162.8,492.0,979,,,
Metropolis Healthcare Ltd.,2019-04-15,880.0,METROPOLIS.NS,9.1,cg_bridge,2019-04-15,2021-06-22,False,45.7,52.0,171.2,3.7,17.0,182.2,490.0,978,,,
Rail Vikas Nigam Ltd.,2019-04-11,19.0,RVNL.NS,0.3,cg_bridge,2019-04-11,2021-06-18,False,20.8,-3.4,53.2,-42.1,232.0,83.7,432.0,980,,,
MSTC Ltd.,2019-03-29,120.0,MSTCLTD.BO,-5.0,cg_bridge,2019-04-01,2021-06-04,False,-20.0,-35.2,154.4,-36.0,97.0,208.7,459.0,969,,,
